field,date,move_type,cover,,,,
GP1A,4/15/2025,day_in,0,,,,
GP1A,4/19/2025,day_out,1270,,,,
briar,4/22/2025,day_out,1522,,,,
briar,4/19/2025,day_in,1802,,,,
GP_woods,4/23/2025,day_out,1792.8,,,,
GP_woods,4/22/2025,day_in,1970,,,,
GP7,4/26/2025,day_out,1498.2,,,,
GP7,4/23/2025,day_in,1746,,,,
GP8A,4/28/2025,day_out,1389.5,,,,
GP8A,4/26/2025,day_in,1829,,,,
GP8B,5/1/2025,day_out,2032.9,,,,
GP8B,4/28/2025,day_in,2320,,,,
GP6C,5/5/2025,day_out,2248.2,,,,
sunset_field,5/1/2025,day_in,2005.6,,,,
GP6C,5/1/2025,day_in,2698,,,,
sunset_hill,5/3/2025,day_in,2418,,,,
sunset_field,5/3/2025,day_out,1508,,,,
GP5D,5/7/2025,day_out,0,,,,
GP5D,5/5/2025,day_in,0,,,,
lower_sunset,5/6/2025,day_in,3902,,,,
sunset_hill,5/6/2025,day_out,2084.5,,,,
GP4C,5/9/2025,day_out,2739.6,,,,
GP4C,5/7/2025,day_in,3160,,,,
GP4B,5/11/2025,day_out,2012,,,,
GP4B,5/9/2025,day_in,3202,,,,
pond,5/10/2025,day_in,0,,,,
lower_sunset,5/10/2025,day_out,0,,,,
GP4A,5/14/2025,day_out,2527.4,,,,
horse,5/11/2025,day_in,3776,,,,
pond,5/11/2025,day_out,2278,,,,
GP4A,5/11/2025,day_in,3076,,,,
GP3,5/30/2025,day_out,0,,,,
GP3,5/14/2025,day_in,0,,,,
lower_home,5/20/2025,day_in,0,,,,
horse,5/20/2025,day_out,0,,,,
triangle_lower,5/23/2025,day_in,0,,,,
lower_home,5/23/2025,day_out,0,,,,
railroad,5/27/2025,day_in,4126,,,,
triangle_lower,5/27/2025,day_out,1970,,,,
GP1A,6/2/2025,day_out,0,,,,
GP1A,5/30/2025,day_in,4252,,,,
drainage,5/30/2025,day_in,3776,,,,
railroad,5/30/2025,day_out,2810,,,,
GP5B,6/3/2025,day_out,0,,,,
GP5B,6/2/2025,day_in,0,,,,
GP6A,6/11/2025,day_out,2768,,,,
GP6A,6/3/2025,day_in,3790,,,,
lower_barberry,6/10/2025,day_in,5750,,,,
drainage,6/10/2025,day_out,2614,,,,
GP7,6/13/2025,day_out,0,,,,
GP7,6/11/2025,day_in,3888,,,,
GP3,6/16/2025,day_out,1562,,,,
GP3,6/13/2025,day_in,0,,,,
lower_underhill,6/13/2025,day_in,6338,,,,
lower_barberry,6/13/2025,day_out,2894,,,,
GP2B,6/16/2025,day_in,4630,,,,
sunset_field,6/16/2025,day_in,0,,,,
lower_underhill,6/16/2025,day_out,0,,,,
sunset_hill,6/19/2025,day_in,4700,,,,
sunset_field,6/19/2025,day_out,2614,,,,
pond,6/25/2025,day_in,4616,,,,
sunset_hill,6/25/2025,day_out,2572,,,,
GP2B,6/28/2025,day_out,2432,,,,
GP2A,6/28/2025,day_in,3888,,,,
horse,6/28/2025,day_in,4042,,,,
pond,6/28/2025,day_out,3062,,,,
GP2A,7/1/2025,day_out,3523.8,,,,
GP1B,7/1/2025,day_in,0,,,,
GP1B,7/2/2025,day_out,2516,,,,
GP1A,7/2/2025,day_in,4126,,,,
GP1A,7/6/2025,day_out,3720,,,,
GP6A,7/6/2025,day_in,4346,,,,
lower_home,7/7/2025,day_in,0,,,,
horse,7/7/2025,day_out,3342,,,,
triangle_lower,7/10/2025,day_in,4658,,,,
lower_home,7/10/2025,day_out,2152,,,,
GP6A,7/12/2025,day_out,0,,,,
GP7,7/12/2025,day_in,0,,,,
railroad,7/13/2025,day_in,0,,,,
triangle_lower,7/13/2025,day_out,0,,,,
GP7,7/16/2025,day_out,2068,,,,
GP8A,7/16/2025,day_in,0,,,,
drainage,7/16/2025,day_in,3812,,,,
railroad,7/16/2025,day_out,2390,,,,
GP8A,7/18/2025,day_out,0,,,,
GP7,7/18/2025,day_in,4168,,,,
GP7,7/20/2025,day_out,0,,,,
GP6C,7/20/2025,day_in,3916,,,,
GP6C,7/22/2025,day_out,3162,,,,
GP5D,7/22/2025,day_in,4112,,,,
GP5D,7/26/2025,day_out,2861,,,,
GP5B,7/26/2025,day_in,4538,,,,
GP5B,7/28/2025,day_out,2460,,,,
GP5A,7/28/2025,day_in,4466,,,,
GP5A,7/30/2025,day_out,0,,,,
GP3,7/30/2025,day_in,0,,,,
lower_underhill,7/30/2025,day_in,5568,,,,
drainage,7/30/2025,day_out,2726,,,,
lower_barberry,8/3/2025,day_in,0,,,,
lower_underhill,8/3/2025,day_out,0,,,,
underhill,8/6/2025,day_in,0,,,,
lower_barberry,8/6/2025,day_out,0,,,,
GP3,8/8/2025,day_out,0,,,,
GP4C,8/8/2025,day_in,0,,,,
GP4C,8/9/2025,day_out,2502,,,,
GP4B,8/9/2025,day_in,4728,,,,
GP4B,8/10/2025,day_out,3328,,,,
GP4A,8/10/2025,day_in,3846,,,,
GP4A,8/13/2025,day_out,0,,,,
GP3,8/13/2025,day_in,0,,,,
barberry_woods,8/16/2025,day_in,0,,,,
underhill,8/16/2025,day_out,0,,,,
bull,8/18/2025,day_in,3538,,,,
barberry_woods,8/18/2025,day_out,2544,,,,
sunset_field,8/21/2025,day_in,3034,,,,
bull,8/21/2025,day_out,2810,,,,
GP3,8/22/2025,day_out,2516,,,,
GP2B,8/22/2025,day_in,3034,,,,
sunset_hill,8/24/2025,day_in,4546,,,,
sunset_field,8/24/2025,day_out,2765,,,,
GP2B,8/27/2025,day_out,0,,,,
GP2A,8/27/2025,day_in,0,,,,
pond,8/28/2025,day_in,0,,,,
sunset_hill,8/28/2025,day_out,0,,,,
GP2A,8/29/2025,day_out,2460,,,,
GP1B,8/29/2025,day_in,3538,,,,
GP1B,9/2/2025,day_out,0,,,,
plains_wet,9/2/2025,day_in,0,,,,
horse,9/2/2025,day_in,0,,,,
pond,9/2/2025,day_out,0,,,,
plains_wet,9/6/2025,day_out,3202,,,,
long_meadow,9/6/2025,day_in,5442,,,,
lower_home,9/8/2025,day_in,2390,,,,
horse,9/8/2025,day_out,1928,,,,
triangle_lower,9/10/2025,day_in,2465,,,,
lower_home,9/10/2025,day_out,2012,,,,
long_meadow,9/12/2025,day_out,2600,,,,
GP8A,9/12/2025,day_in,2558,,,,
triangle_upper,9/13/2025,day_in,3155,,,,
triangle_lower,9/13/2025,day_out,1930,,,,
GP8A,9/16/2025,day_out,0,,,,
GP8C,9/16/2025,day_in,0,,,,
railroad,9/17/2025,day_in,3328,,,,
triangle_upper,9/17/2025,day_out,2276,,,,
GP8C,9/18/2025,day_out,1914,,,,
GP7,9/18/2025,day_in,2768,,,,
briar,9/19/2025,day_in,0,,,,
railroad,9/19/2025,day_out,0,,,,
GP7,9/24/2025,day_out,2488,,,,
GP6C,9/24/2025,day_in,3552,,,,
GP6C,9/25/2025,day_out,2138,,,,
GP6B,9/25/2025,day_in,2138,,,,
GP6B,9/27/2025,day_out,1704.9,,,,
GP6A,9/27/2025,day_in,0,,,,
GP6A,9/28/2025,day_out,0,,,,
GP5A,9/28/2025,day_in,0,,,,
GP5A,9/29/2025,day_out,0,,,,
GP5C,9/29/2025,day_in,0,,,,
GP5C,9/30/2025,day_out,2138,,,,
GP4C,9/30/2025,day_in,0,,,,
GP4C,10/3/2025,day_out,0,,,,
drainage,10/3/2025,day_in,4042,,,,
briar,10/3/2025,day_out,2026,,,,
GP4B,10/3/2025,day_in,0,,,,
GP4B,10/6/2025,day_out,0,,,,
GP4A,10/6/2025,day_in,0,,,,
GP4A,10/9/2025,day_out,0,,,,
GP3,10/9/2025,day_in,3118,,,,
lower_barberry,10/13/2025,day_in,0,,,,
drainage,10/13/2025,day_out,3766.3,,,,
barberry_woods,10/16/2025,day_in,0,,,,
lower_barberry,10/16/2025,day_out,0,,,,
wilson,10/19/2025,day_in,0,,,,
barberry_woods,10/19/2025,day_out,0,,,,
GP3,10/23/2025,day_out,0,,,,
GP2B,10/23/2025,day_in,0,,,,
underhill,10/25/2025,day_in,0,,,,
wilson,10/25/2025,day_out,0,,,,
GP2B,10/27/2025,day_out,2264,,,,
GP2A,10/27/2025,day_in,3020,,,,
GP2A,10/29/2025,day_out,2040,,,,
GP1B,10/29/2025,day_in,2502,,,,
GP1B,10/30/2025,day_out,0,,,,
GP1A,10/30/2025,day_in,0,,,,
underhill_wet,10/30/2025,day_in,3219,,,,
underhill,10/30/2025,day_out,2432,,,,
GP1A,11/4/2025,day_out,0,,,,
GP7,11/4/2025,day_in,0,,,,
bull,11/6/2025,day_in,0,,,,
underhill_wet,11/6/2025,day_out,0,,,,
GP7,11/9/2025,day_out,0,,,,
leos,11/9/2025,day_in,0,,,,
sunset_hill,11/11/2025,day_in,0,,,,
bull,11/11/2025,day_out,0,,,,
leos,11/14/2025,day_out,0,,,,
lower_sunset,11/14/2025,day_in,3384,,,,
sunset_hill,11/14/2025,day_out,2362,,,,
playground,11/14/2025,day_in,0,,,,
williams_west,11/21/2025,day_in,0,,,,
lower_sunset,11/21/2025,day_out,0,,,,
playground,11/25/2025,day_out,0,,,,
GP6,11/25/2025,day_in,0,,,,
GP6,11/30/2025,day_out,"1,746",,,,
GP1,11/30/2025,day_in,"2,040",,,,
GP1,,day_out,0,,,,
williams_west,,day_out,0,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
